oldUrl,newUrl,action,urlQualityScore,seoValueScore,traffic,backlinks,reason,confidence
"https://www.eurowindowhcm.com/2026/07/kham-pha-quy-trinh-khat-khe-ang-sau-su.html","/tin-tuc/kham-pha-quy-trinh-khat-khe-ang-sau-su","KEEP",95,"UNVERIFIED","UNVERIFIED","UNVERIFIED","Clean, keyword-clear and high-quality URL","HIGH"
"https://www.eurowindowhcm.com/2026/03/eurowindow-trung-thau-nhom-kinh-fpt-tower.html","/tin-tuc/eurowindow-trung-thau-nhom-kinh-fpt-tower","KEEP",95,"UNVERIFIED","UNVERIFIED","UNVERIFIED","Clean, keyword-clear and high-quality URL","HIGH"
"https://www.eurowindowhcm.com/2025/08/6-cong-nghe-dot-pha-trong-nganh-cua.html","/tin-tuc/6-cong-nghe-dot-pha-trong-nganh-cua","KEEP",95,"UNVERIFIED","UNVERIFIED","UNVERIFIED","Clean, keyword-clear and high-quality URL","HIGH"
"https://www.eurowindowhcm.com/2025/04/chao-he-ruc-ro-cung-eurowindow-co-hoi.html","/tin-tuc/chao-he-ruc-ro-cung-eurowindow-co-hoi","KEEP",95,"UNVERIFIED","UNVERIFIED","UNVERIFIED","Clean, keyword-clear and high-quality URL","HIGH"
"https://www.eurowindowhcm.com/2025/02/-thiet-ke-cua-dan-au-xu-huong-2025.html","/tin-tuc/thiet-ke-cua-dan-dau-xu-huong-2025","IMPROVE",50,"UNVERIFIED","UNVERIFIED","UNVERIFIED","Fixed Vietnamese transliteration typo / missing diacritics; Removed malformed leading dash","HIGH"
"https://www.eurowindowhcm.com/2024/10/4-tien-ich-cua-cua-thong-minh-he-moi.html","/tin-tuc/4-tien-ich-cua-cua-thong-minh-he-moi","KEEP",95,"UNVERIFIED","UNVERIFIED","UNVERIFIED","Clean, keyword-clear and high-quality URL","HIGH"
"https://www.eurowindowhcm.com/2024/10/bat-trend-cua-nhom-len-ngoi-nam-2024.html","/tin-tuc/bat-trend-cua-nhom-len-ngoi-nam-2024","KEEP",95,"UNVERIFIED","UNVERIFIED","UNVERIFIED","Clean, keyword-clear and high-quality URL","HIGH"
"https://www.eurowindowhcm.com/2024/10/mau-cua-eurowindow-thong-minh-hot-nhat.html","/tin-tuc/mau-cua-eurowindow-thong-minh-hot-nhat","KEEP",95,"UNVERIFIED","UNVERIFIED","UNVERIFIED","Clean, keyword-clear and high-quality URL","HIGH"
"https://www.eurowindowhcm.com/2024/09/khuyen-mai-tri-khach-hang-ngan-qua-tang.html","/tin-tuc/khuyen-mai-tri-khach-hang-ngan-qua-tang","KEEP",95,"UNVERIFIED","UNVERIFIED","UNVERIFIED","Clean, keyword-clear and high-quality URL","HIGH"
"https://www.eurowindowhcm.com/2024/08/cua-gap-truot-doc-tu-dong-eurowindow.html","/tin-tuc/cua-gap-truot-doc-tu-dong-eurowindow","KEEP",95,"UNVERIFIED","UNVERIFIED","UNVERIFIED","Clean, keyword-clear and high-quality URL","HIGH"
"https://www.eurowindowhcm.com/2024/07/cua-nhom-eurowindow-son-anode-toan-mua.html","/tin-tuc/cua-nhom-eurowindow-son-anode-toan-mua","KEEP",95,"UNVERIFIED","UNVERIFIED","UNVERIFIED","Clean, keyword-clear and high-quality URL","HIGH"
"https://www.eurowindowhcm.com/2024/06/khuyen-mai-nhan-dip-vietbuild-ho-chi.html","/tin-tuc/khuyen-mai-nhan-dip-vietbuild-ho-chi","KEEP",95,"UNVERIFIED","UNVERIFIED","UNVERIFIED","Clean, keyword-clear and high-quality URL","HIGH"
"https://www.eurowindowhcm.com/2024/05/6-diem-cong-cua-rem-trong-hop-kinh.html","/tin-tuc/6-diem-cong-cua-rem-trong-hop-kinh","KEEP",95,"UNVERIFIED","UNVERIFIED","UNVERIFIED","Clean, keyword-clear and high-quality URL","HIGH"
"https://www.eurowindowhcm.com/2024/05/bao-ve-ngoi-nha-cua-ban-mua-mua-bao-voi.html","/tin-tuc/bao-ve-ngoi-nha-cua-ban-mua-mua-bao-voi","KEEP",95,"UNVERIFIED","UNVERIFIED","UNVERIFIED","Clean, keyword-clear and high-quality URL","HIGH"
"https://www.eurowindowhcm.com/2024/04/eurowindow-ky-ket-hop-tac-chien-luoc.html","/tin-tuc/eurowindow-ky-ket-hop-tac-chien-luoc","KEEP",95,"UNVERIFIED","UNVERIFIED","UNVERIFIED","Clean, keyword-clear and high-quality URL","HIGH"
"https://www.eurowindowhcm.com/2024/04/eurowindow-uoc-vinh-danh-top-5-cong-ty.html","/tin-tuc/eurowindow-duoc-vinh-danh-top-5-cong-ty","IMPROVE",65,"UNVERIFIED","UNVERIFIED","UNVERIFIED","Fixed Vietnamese transliteration typo / missing diacritics","HIGH"
"https://www.eurowindowhcm.com/2024/03/khuyen-mai-on-tan-gia-nhan-qua-nghi.html","/tin-tuc/khuyen-mai-don-tan-gia-nhan-qua-nghi","IMPROVE",65,"UNVERIFIED","UNVERIFIED","UNVERIFIED","Fixed Vietnamese transliteration typo / missing diacritics","HIGH"
"https://www.eurowindowhcm.com/2024/02/eurowindow-ky-hop-ong-khai-xuan-2024.html","/tin-tuc/eurowindow-ky-hop-dong-khai-xuan-2024","IMPROVE",65,"UNVERIFIED","UNVERIFIED","UNVERIFIED","Fixed Vietnamese transliteration typo / missing diacritics","HIGH"
"https://www.eurowindowhcm.com/2024/01/tai-sao-cua-thong-minh-he-moi.html","/tin-tuc/tai-sao-cua-thong-minh-he-moi","KEEP",95,"UNVERIFIED","UNVERIFIED","UNVERIFIED","Clean, keyword-clear and high-quality URL","HIGH"
"https://www.eurowindowhcm.com/2023/12/eurowindow-tham-du-trien-lam-tai.html","/tin-tuc/eurowindow-tham-du-trien-lam-tai","KEEP",95,"UNVERIFIED","UNVERIFIED","UNVERIFIED","Clean, keyword-clear and high-quality URL","HIGH"
"https://www.eurowindowhcm.com/2023/11/cong-trinh-eurowindow-tai-my.html","/tin-tuc/cong-trinh-eurowindow-tai-my","KEEP",95,"UNVERIFIED","UNVERIFIED","UNVERIFIED","Clean, keyword-clear and high-quality URL","HIGH"
"https://www.eurowindowhcm.com/2023/09/cua-go-chong-chay-eurowindow-la-chan.html","/tin-tuc/cua-go-chong-chay-eurowindow-la-chan","KEEP",95,"UNVERIFIED","UNVERIFIED","UNVERIFIED","Clean, keyword-clear and high-quality URL","HIGH"
"https://www.eurowindowhcm.com/2023/08/eurowindow-khuyen-mai-cua-go-2023.html","/tin-tuc/eurowindow-khuyen-mai-cua-go-2023","KEEP",95,"UNVERIFIED","UNVERIFIED","UNVERIFIED","Clean, keyword-clear and high-quality URL","HIGH"
"https://www.eurowindowhcm.com/2023/05/cong-thuc-lam-nen-do-ben-cua-nhom-ew.html","/tin-tuc/cong-thuc-lam-nen-do-ben-cua-nhom-ew","KEEP",95,"UNVERIFIED","UNVERIFIED","UNVERIFIED","Clean, keyword-clear and high-quality URL","HIGH"
"https://www.eurowindowhcm.com/2023/02/eurowindow-tham-gia-ngay-hoi-ket-noi.html","/tin-tuc/eurowindow-tham-gia-ngay-hoi-ket-noi","KEEP",95,"UNVERIFIED","UNVERIFIED","UNVERIFIED","Clean, keyword-clear and high-quality URL","HIGH"
"https://www.eurowindowhcm.com/2022/12/cong-trinh-eurowindow-tai-lam-dong.html","/tin-tuc/cong-trinh-eurowindow-tai-lam-dong","KEEP",95,"UNVERIFIED","UNVERIFIED","UNVERIFIED","Clean, keyword-clear and high-quality URL","HIGH"
